Address,Incident Date,Vehicle Involved,Person Injured,Person Killed,Comments
BOWER HILL ROAD,11/29/2014,X,,,DEER ON ROADWAY STRUCK BY VEH
104 SENECA DRIVE,11/29/2014,,,,SICK DEER IN BACKYARD
828 RIDGEVIEW DRIVE,11/27/2014,,,,INJ DEER ON SIDE OF HOUSE
CASTLE SHANNON BOULEVARD,11/25/2014,X,,,"STRUCK A DEER, DEER ON SIDE OF ROAD"
836 NORTHRIDGE DRIVE,11/24/2014,,,,INJURED DEER LIMPING IN ROAD
934 FLORIDA AVENUE,11/24/2014,,,,"BUCK IN BACK YARD, INJURED"
934 FLORIDA AVENUE,11/24/2014,,,,"BUCK IN BACK YARD, INJURED"
934 FLORIDA AVENUE,11/24/2014,,,,"BUCK IN BACK YARD, INJURED"
281 MAGNOLIA PLACE,11/23/2014,,,,DEAD DEAR IN FRONT YARD
224 ORCHARD DRIVE,11/23/2014,,,,INJ DEER IN YARD
204 ORCHARD DRIVE,11/22/2014,,,,DEER INJ AND BLEEDING
397 GILKESON ROAD,11/19/2014,X,,,Deer struck in roadway
701 VALLEVISTA AVENUE,11/19/2014,,,,INJ DEER
WASHINGTON ROAD,11/18/2014,X,,,DEER STRUCK AND STILL ALIVE
FLORENCE PLACE,11/18/2014,,,,DEER STUCK IN TENNIS COURTS
CEDAR BOULEVARD,11/18/2014,,,,DEER STUCK IN FENCE
1460 NAVAHOE DRIVE,11/16/2014,,,,INJ DEER IN YARD
1500 WASHINGTON ROAD,11/14/2014,X,,,DEER LAYING IN ROADWAY
SERPENTINE DRIVE,11/14/2014,,,,INJ DEER ON BOWER HILL
1441 WASHINGTON ROAD,11/13/2014,X,,,Deer struck in roadway; discharged by officer
121 OVERLOOK DRIVE,11/13/2014,,,,INJ DEER IN BACK YARD
LINDENDALE DRIVE,11/12/2014,X,,,"DEER HIT BY VEH, STILL ALIVE"
SCOTT ROAD,11/12/2014,,,,INJURED DEER ON SIDE OF ROAD
CRYSTAL DRIVE,11/8/2014,X,,,"DEER HIT BY VEHICLE, STILL ALIVE"
249 SLEEPY HOLLOW ROAD,11/8/2014,X,,,"DEER STRUCK BY VEH, STILL ALIVE"
1409 TERRACE DRIVE,11/8/2014,,,,INJURED DEER ON PROPERTY
1160 BOWER HILL ROAD,11/7/2014,,,,DEER STUCK IN FENCE
RUTH STREET,11/7/2014,,,,DEER TRAPPED IN SOCCER FIELD
1027 LINDENDALE DRIVE,11/5/2014,,,,AC GOT INJURED DEER
WASHINGTON ROAD,11/5/2014,X,,,deer struck/still alive
952 CONNOR ROAD,11/4/2014,,,,DEAD DEER IN FISH POND
871 MACARTHUR DRIVE,11/4/2014,,,,deer with arrow in behind
853 FOXLAND DRIVE,11/2/2014,X,,,"DEER HIT BY CAR, BROKEN LEG"
957 MCNEILLY ROAD,11/2/2014,,,,INJURED DEER IN THE SIDE YARD
CONNOR ROAD,11/1/2014,,,,DEAD DEER ON ROAD
COCHRAN ROAD,10/31/2014,X,,,INJURED DEER DISPATCHED BY OFFICER
409 SALEM DRIVE,10/30/2014,,,,DOA IN BACK YARD
975 MCCORMICK LANE,10/29/2014,,,,DOA IN BACK YARD
CEDAR BOULEVARD,10/27/2014,,,,DEER CROSSING THE ROAD COMPLAINT
COCHRAN ROAD,10/25/2014,X,,,Discharged by officer
558 KELSO ROAD,10/23/2014,,,,DOA DEER REMOVED
302 INGLEWOOD DRIVE,10/3/2014,,,,Injured deer - discharged by animal control
CEDAR BOULEVARD,10/3/2014,X,,,DEER ON SIDEWALK
SCOTT ROAD,10/2/2014,X,X,,"DEER STRUCK SIDE OF VEHICLE, VEH DAMAGED, DEER DOA"
COCHRAN ROAD,9/30/2014,,,,INJ DEER ON ROADWAY
GILKESON ROAD,9/30/2014,,,,DEAD DEER ON SIDE OF RD
SCOTT ROAD,9/24/2014,,,,INJ DEER LYING ON ROAD
237 VALLEY PARK DRIVE,9/24/2014,,,,DEER WITH DAMAGED LEG IN BACKYARD
400 BL CASTLE SHANNON BOULEVARD,9/23/2014,X,,,"VEH VS DEER, NO INJURIES, CAR DRIVEABLE"
CASTLE SHANNON BOULEVARD,9/22/2014,X,,,VEHICLE GOA
489 CASTLE SHANNON BOULEVARD,9/22/2014,,,,DEER DOWN ON ROADWAY
1695 MCFARLAND ROAD,9/17/2014,,,,INJURED DEER IN ROADWAY
PAINTERS RUN ROAD,9/17/2014,,,,INJURED DEER
370 CASTLE SHANNON BOULEVARD,9/17/2014,,,,DEAD DEER
