UCR DESCRIPTION,DATE,TIME,ADDRESS,LATITUDE,LAT_JITTERED,LONGITUDE,ST NUM,PRIMARY ST,SECONDARY ST,REPORT,VIOLATION,PED AGE,DRIV  AGE,INJ
PEDESTRIAN,2014-09-10,16:45,"1000 BOWER HILL, MT. LEBANON, PA",40.3778054,40.3776054,-80.0663192,1000,BOWER HILL,LOT,20141666,Veh (unit 1) not cited; Pedestrian (unit 2) not cited; veh was slowly backing up and backed over pedestrian's foot in turnaround lot,50,59,1
PEDACYCLE,2008-05-17,18:41,"1000 BOWER HILL, MT. LEBANON, PA",40.3778054,40.3778054,-80.0663192,1000,BOWER HILL,,20080780,Pedacycle rode off sidewalk into side of vehicle exiting St. Clair Hospital lot - no citations issued,13,32,1
PEDESTRIAN,2014-10-10,19:26,"100 MT LEBANON, MT. LEBANON, PA",40.365081,40.365281,-80.043102,100,MT LEBANON,,20141873,Veh (unit 1) cited for vc 3542a Right of way of pedestrians; Pedestrian (unit 2) not cited struck in marked crosswalk,67,58,1
PEDESTRIAN,2010-06-07,16:48,"100 NEWBURN, MT. LEBANON, PA",40.3934186,40.3932186,-80.047508,100,NEWBURN,,20100915,Unit 1 (Vehicle) struck pedestrian and fled scene - Unit 1 arrested for 3742 Accidents involving death or injury,12,76,1
BICYCLE,2008-10-12,11:47,"10 ALTADENA, MT. LEBANON, PA",40.3661,40.3661,-80.053922,10,ALTADENA,,20081653,Bicycle slid on leaves,43,,1
BICYCLE,2010-10-10,12:05,"1121 BOWER HILL, MT. LEBANON, PA",40.3750481,40.3752481,-80.0692456,1121,BOWER HILL,,20101697,Bicycle rode into side of vehicle while exiting parking lot - no citations issued,13,56,1
PEDESTRIAN,2013-10-08,15:56,"114 ABBEYVILLE, MT. LEBANON, PA",40.3516229,40.3514229,-80.049777,114,ABBEYVILLE,,20131549,Unit 1 (pedestrian) no citation for Exercise of Care by Pedestrian - juvenile did not look & ran in front of vehicle in driveway and was struck,12,66,1
PEDESTRIAN,2013-04-11,12:16,"11 CASTLE SHANNON, MT. LEBANON, PA",40.3775368,40.3775368,-80.0450209,11,CASTLE SHANNON,,20130511,Unit 1 (vehicle) cited for 3542a Right of Way of Pedestrians - pedestrian struck in crosswalk,84,63,1
BICYCLE,2012-10-18,17:37,"1225 FIRWOOD, MT. LEBANON, PA",40.369276,40.369476,-80.066146,1225,FIRWOOD,,20121630,Unit 1 (bicycle) not cited rode into side of vehicle backing out of driveway - Unit 2 (veh) not cited,10,88,1
PEDESTRIAN,2008-12-20,21:07,"127 JEFFERSON, MT. LEBANON, PA",40.37545,40.37525,-80.046311,127,JEFFERSON,,20082066,Unit 1(Vehicle) arrested for 3742 (Accident involving death or injury) - Unit 1 made a U-turn and struck victim riding skateboard in road,14,19,1
PEDESTRIAN,2009-10-14,19:50,"1314 SYLVANDELL, MT. LEBANON, PA",40.373923,40.373923,-80.072947,1314,SYLVANDELL,,20091568,Unit 1 (Veh) backing out of driveway - struck Unit 2 (Parked Veh) - pedestrian placing child in Unit 2's car seat knocking pedestrian to the ground - Unit 1 cited 3702 Limitations on backing,29,16,1
PEDESTRIAN,2010-09-10,21:30,"1500 WASHINGTON, MT. LEBANON, PA",40.357213,40.357413,-80.0520951,1500,WASHINGTON,,20101503,Pedestrian crossing street stuck by vehicle - Pedestrian cited for 3543 Pedestrian Crossing at other than Crosswalk - driver cited for 3742 Accidents Involving Personal Injury,15,26,1
PEDESTRIAN,2012-11-10,21:25,"1573 MCFARLAND, MT. LEBANON, PA",40.3930138,40.3928138,-80.0459407,1573,MCFARLAND,,20121774,Unit 1 (pedestrian) cited for 3350 Pedestrian Under the Influence of Alcohol - Unit 2 (veh) not cited -- Pedestrian swayed from parked vehicle into path of Unit 2,65,53,1
BICYCLE,2014-08-06,22:29,"1596 COCHRAN, MT. LEBANON, PA",40.3902714,40.3902714,-80.058603,1596,COCHRAN,,20141440,Vehicle (unit 1) cited for 3714 Careless Driving; Bicycle (unit 2) not cited; bicycle struck from behind,30,18,1
PEDESTRIAN,2011-12-15,07:27,"160 MT LEBANON, MT. LEBANON, PA",40.366607,40.366807,-80.0410689,160,MT LEBANON,,20111897,Unit 1 (vehicle) cited for 3542a Failure to Yield to Ped in Crosswalk - 2 pedestrians struck,11 & 12,62,2
PEDESTRIAN,2011-01-10,14:26,"1717 COCHRAN, MT. LEBANON, PA",40.3923379,40.3921379,-80.0662223,1717,COCHRAN,PARKING LOT,20110044,Pedestrian stepped off island into traffic way and was struck -  no citations issued,69,40,1
PEDESTRIAN,2010-09-18,14:15,"1717 COCHRAN, MT. LEBANON, PA",40.3923379,40.3923379,-80.0662223,1717,COCHRAN,,,Pedestrian backed into - no injuries,87,43,0
BICYCLE,2012-05-31,21:09,"200 WASHINGTON, MT. LEBANON, PA",40.3883675,40.3885675,-80.0429565,200,WASHINGTON,,20120866,"Unit 1 (vehicle) cited for 3736 Reckless Driving, 3310 Following too Close, 3703 Driving upon Crosswalk -- Unit 2 (bicyclist) not cited -- vehicle struck rear tire of bicycle, rider got off bike, driver ran over bicycle",40,24,0
BICYCLE,2011-08-01,17:50,"201 MAYFAIR, MT. LEBANON, PA",40.368969,40.368769,-80.059079,201,MAYFAIR,,,Bicyclist ran into vehicle and rode away - no report - AA600 form issued to veh driver - no citation issued,,57,0
PEDESTRIAN,2009-09-18,08:04,"210 LEMOYNE, MT. LEBANON, PA",40.375985,40.375985,-80.042769,210,LEMOYNE,,20091425,Pedestrian walking in roadway in curb lane - struck by vehicle - vehicle failed to stop,17,,1
PEDESTRIAN,2007-01-04,15:15,"300 CEDAR, MT. LEBANON, PA",40.3802825,40.3804825,-80.0528887,300,CEDAR,,20070026,Unit 1 (Pedestrian) - cited for 3543a Pedestrian Crossing at Other Than Crosswalk - ran through traffic,16,40,1
PEDESTRIAN,2010-10-21,09:00,"300 COCHRAN, MT. LEBANON, PA",40.3802964,40.3800964,-80.0525518,300,COCHRAN,,20101751,Hit and Run - pedestrian struck in crosswalk,14,,0
PEDESTRIAN,2010-08-12,09:32,"301 COCHRAN, MT. LEBANON, PA",40.380726,40.380726,-80.052845,301,COCHRAN,,20101331,Vehicle struck pedestrian exiting lot - driver cited for 3547 Right of Way of Pedestrians on sidewalks,80,26,1
PEDESTRIAN,2011-06-18,08:44,"303 BEVERLY, MT. LEBANON, PA",40.388527,40.388727,-80.0495449,303,BEVERLY,,20110873,Unit 1 (vehicle) cited for 3714 Careless Driving - veh pulled into parking space went over curb striking garbage can which struck pedestrian then drove into front of building,40,78,1
PEDESTRIAN,2008-01-11,06:33,"312 WASHINGTON, MT. LEBANON, PA",40.3876401,40.3874401,-80.0434861,312,WASHINGTON,,20080066,Unit 1 (Ped.) charged with Pedestrian crossing @ other than crosswalks-citation issued - Unit 2 vc 3714 (Careless Driving)-no citation,63,25,1
BICYCLE,2010-04-10,12:27,"315 PARKSIDE, MT. LEBANON, PA",40.377083,40.377083,-80.034408,315,PARKSIDE,,20100526,Unit 1(Bicycle) rode off sidewalk into side of Unit 2 (Vehicle),9,64,1
PEDESTRIAN,2013-01-09,18:18,"325 CEDAR, MT. LEBANON, PA",40.379335,40.379535,-80.05315,325,CEDAR,,20130046,Unit 1 (pedestrian) cited for 3542c Pedestrians crossing at other than crosswalks and 3544a Mandatory use of sidewalks; Unit 2 (vehicle) was not cited -- jogger wearing dark non-reflective clothing and ran into the road into the path of the vehicle,47,74,1
PEDESTRIAN,2014-02-11,18:34,"3277 W LIBERTY, MT. LEBANON, PA",40.3892974,40.3890974,-80.0416492,3277,W LIBERTY,,20140215,Ped (unit 1) cited for 3543c Pedestrian Crossing Other Than Crosswalk; Veh (unit 2) not cited; Ped walked infront of veh and was struck,60,53,1
BICYCLE,2011-04-30,13:25,"330 PARKWAY, MT. LEBANON, PA",40.370646,40.370646,-80.0413389,330,PARKWAY,,20110578,Unit 1 (bicycle) flipped over handle bars after juveniles ran in front of him on roadway,65,,1
PEDESTRIAN,2009-09-24,20:32,"361 GILKESON, MT. LEBANON, PA",40.3572269,40.3574269,-80.0545874,361,GILKESON,,20091462,Unit 2 (Pedestrian) Pedestrian crossing other than crosswalk - no citation issued; Unit 1 (Veh) Too fast for conditions - no citation issued,71,57,1
PEDESTRIAN,2013-04-23,14:26,"37 ROBB HOLLOW, MT. LEBANON, PA",40.374117,40.373917,-80.0692556,37,ROBB HOLLOW,PARKING LOT,20130569,Unit 1 (vehicle) backed into pedestrian in parking lot - driver hit gas instead of brake and struck ped knocking to the ground,20,30,1
PEDESTRIAN,2013-05-20,20:51,"410 COOKE, MT. LEBANON, PA",40.3705421,40.3705421,-80.0330147,410,COOKE,PARKING LOT,20130713,Vehicle backing up  - pedestrian put hands on vehicle to stop vehicle from moving,55,69,0
PEDESTRIAN,2010-07-31,13:22,"410 COOKE, MT. LEBANON, PA",40.3705421,40.3707421,-80.0330147,410,COOKE,,20101268,Vehicle backing out of parking space and struck pedestrian - no injuries - no citations,18,60,0
BICYCLE,2007-06-15,17:03,"58 CARLETON, MT. LEBANON, PA",40.3749759,40.3747759,-80.0796189,58,CARLETON,,20071009,Unit 1 (bicycle) not cited for 3361 Unsafe Speed - Unit 2 (veh) not cited - bicycle on sidewalk going too fast - skidded off into road striking vehicle pulling into driveway,14,36,1
PEDESTRIAN,2013-01-07,14:49,"600 N MEADOWCROFT, MT. LEBANON, PA",40.394121,40.394121,-80.050847,600,N MEADOWCROFT,,20130039,Hit & Run - Pedestrian (trash collector) struck from behind in roadway by passing vehicle,19,,1
PEDESTRIAN,2007-02-21,15:59,"607 WASHINGTON, MT. LEBANON, PA",40.382944,40.383144,-80.043616,607,WASHINGTON,,20070332,Pedestrian crossing at other than crosswalk - ran between parked vehicles onto street,2,31,1
PEDESTRIAN,2009-01-28,06:15,"617 BOWER HILL, MT. LEBANON, PA",40.3847385,40.3845385,-80.0542468,617,BOWER HILL,,20090129,Pedestrian cited for 3544a Pedestrian Walking on Highway - snow storm - roads & sidewalks covered in snow and ice,59,72,1
PEDESTRIAN,2007-08-22,21:42,"634 WASHINGTON, MT. LEBANON, PA",40.3819768,40.3819768,-80.0441654,634,WASHINGTON,,20071364,Unit 2(Pedestrian)-(Not yielding right of way)-entered road between cars,24,36,1
PEDESTRIAN,2010-11-09,18:03,"650 WASHINGTON, MT. LEBANON, PA",40.3813464,40.3815464,-80.0443074,650,WASHINGTON,,20101846,Pedestrian not in crosswalk - pedestrian cited for 3543 Pedestrian Crossing at other than Crosswalk,56,66,1
BICYCLE,2009-05-24,15:40,"684 VALLEYVIEW, MT. LEBANON, PA",40.388725,40.388525,-80.060319,684,VALLEYVIEW,,20090808,Unit 1(Bicycle) swerved and struck rear of parked vehicle,14,,1
PEDESTRIAN,2010-03-15,11:15,"714 WASHINGTON, MT. LEBANON, PA",40.3790814,40.3790814,-80.0454575,714,WASHINGTON,,20100389,Pedestrian cited for Pedestrian crossing at other than crosswalk,75,22,1
PEDESTRIAN,2014-02-17,10:54,"715 WASHINGTON, MT. LEBANON, PA",40.3795795,40.3797795,-80.0447734,715,WASHINGTON,,20140260,Veh (unit 1) cited for vc 3333 Moving a stopped or parked veh; Ped (unit 3) cited for vc 3542c Ped Crossing Other Than Crosswalk; Veh unit 1 struck parked veh unit 2 which struck pedestrian infront of unit 2 waiting to cross and was struck by parked veh pushed into ped,58,83,1
PEDESTRIAN,2009-10-01,17:53,"719 WASHINGTON, MT. LEBANON, PA",40.3795262,40.3793262,-80.0447946,719,WASHINGTON,,20091508,Pedestrian cited for Pedestrian crossing at other than sidewalk - ran off of sidewalk into traffic,15,60,1
PEDESTRIAN,2013-11-19,20:31,"733 WASHINGTON, MT. LEBANON, PA",40.3790968,40.3790968,-80.0450242,733,WASHINGTON,,20131827,Unit 1 (pedestrian) no citation for 3542c Pedestrian Crossing at Other Than Crosswalk; Unit 2 (veh) no citation; pedestrian struck in middle of roadway - not in crosswalk,30,17,1
PEDESTRIAN,2008-06-07,16:59,"750 WASHINGTON, MT. LEBANON, PA",40.379465,40.379665,-80.04601,750,WASHINGTON,,20080908,Unit 1 (Vehicle) charged with Failure to yield right of way to pedestrian in crosswalk-citation issued,9,49,1
PEDESTRIAN,2012-12-31,13:39,"799 CASTLE SHANNON, MT. LEBANON, PA",40.3691647,40.3689647,-80.028592,799,CASTLE SHANNON,,20122029,Unit 1 (vehicle) backed into Unit 2 (ped) while parking -- no citations issued,74,67,1
